fid,id,inscricoes,latitude,longitude,elevacao,setor_abastecimento
"11613","29728","4618297",-3.72245693311728,-38.4748583709628,25.5290927886963,"18"
"11614","29729","4000463",-3.7205645389245,-38.4745194327712,35.1510162353516,"18"
"11615","29730","5439809",-3.72268674432526,-38.4741758971205,27.574047088623,"18"
"11616","29731","4969308",-3.72264889697691,-38.4740469652814,28.9585514068604,"18"
"11617","29749","7853335",-3.80562342364485,-38.6062531961192,20,"4"
"11618","29750","1954350",-3.77151893699978,-38.6037168870646,24.0868625640869,"4"
"11619","29752","1867849",-3.77166327350602,-38.6092883114228,10.8119459152222,"4"
"11620","29753","1955373",-3.77444727832605,-38.6029856414523,20.4631309509277,"4"
"11621","29754","1955195",-3.77441715986789,-38.6037279778325,18.7487239837646,"4"
"11622","29777","5667321",-3.73357248389524,-38.5727899575851,10.8061571121216,"5"
"11623","29778","2355760",-3.73083444446712,-38.5789491119276,22.0073776245117,"5"
"11624","29779","3194078",-3.72811250798301,-38.5700615488611,23,"5"
"11625","29780","1119788",-3.74187852710597,-38.5849643384063,12.4320182800293,"5"
"11626","29782","2011298",-3.74195978342587,-38.5849591985983,12.3634977340698,"5"
"11627","29783","136409",-3.73727901398299,-38.5918686757465,17.4865207672119,"5"
"11628","29784","1622781",-3.71137253625323,-38.5605481340339,21,"5"
"11629","29785","1460803",-3.73340963839045,-38.5824676934277,21.5761184692383,"5"
"11630","29786","10793054",-3.71370585464421,-38.5502249796901,23.0688724517822,"5"
"11631","29787","10460543",-3.71660914957874,-38.5488650565601,19,"5"
"11632","29788","4011163",-3.81934687433034,-38.6049352420595,24.6129932403564,"15"
"11633","29789","2458080",-3.82030880070364,-38.6051355184509,24.7130069732666,"15"
"11634","29790","8185522",-3.81838840890251,-38.5949475265307,34.0543899536133,"15"
"11635","29791","2431912",-3.81932895168578,-38.6071014614147,29,"15"
"11636","29792","7482450",-3.81048648471047,-38.5853769669238,33.9143524169922,"15"
"11637","29793","7702981",-3.8069325752308,-38.5919820403775,26.3344326019287,"15"
"11638","29794","10421963",-3.80854624679873,-38.5855893699853,28.0860557556152,"15"
"11639","29795","5415489",-3.80967673986629,-38.5862711991842,32.481761932373,"15"
"11640","29796","7580169",-3.83190719238654,-38.5705591385224,38.0041923522949,"15"
"11641","29811","1865064",-3.77532689304989,-38.6072325186588,11.4664182662964,"4"
"11642","29812","1867580",-3.77208562703473,-38.6095742842644,10.8223762512207,"4"
"11643","29813","3066010",-3.77004394181623,-38.6172429801065,16,"4"
"11644","29814","3064760",-3.76764232056718,-38.614171556719,11,"4"
"11645","29815","3065570",-3.77586736131004,-38.617867280515,14.1378746032715,"4"
"11646","29816","10656910",-3.79802881433424,-38.602868547379,21.5042495727539,"4"
"11647","29817","10542841",-3.79778372622449,-38.5995038906473,27.5051727294922,"4"
"11648","29818","7947704",-3.81627156489088,-38.621868802828,36.4601821899414,"4"
"11649","29819","10604561",-3.81349553844056,-38.6183539537272,28.7048053741455,"4"
"11650","29820","6729797",-3.77539752908392,-38.5893361683064,20.3865642547607,"11"
"11651","29821","2715244",-3.80875891007017,-38.6254208811188,37.894344329834,"4"
"11652","29832","10619526",-3.76576718159228,-38.5158315313517,16.3116416931152,"6"
"11653","29833","10514490",-3.76656870944539,-38.5146406221157,19.7876300811768,"6"
"11654","29842","6698387",-3.71612835842111,-38.5719552388499,21.2628040313721,"5"
"11655","29843","10488014",-3.72000862568325,-38.5671531093948,21.7585010528564,"5"
"11656","29844","1553992",-3.72170075470833,-38.5715714760676,21.4840774536133,"5"
"11657","29845","1575481",-3.71480737979735,-38.5796110048202,14.2223854064941,"5"
"11658","29856","7599242",-3.83412276372252,-38.573604617263,38.7301368713379,"15"
"11659","29857","8336865",-3.8349807005993,-38.5728956333861,40.9079627990723,"15"
"11660","29858","7596626",-3.83386147302748,-38.5736577975159,38.0949478149414,"15"
"11661","29859","7602065",-3.82976662926946,-38.570582526652,34.6936645507813,"15"
"11662","29860","8340617",-3.83641647663833,-38.5737986397505,42,"15"
"11663","29861","5395933",-3.83375814883883,-38.5809076112265,34.4002151489258,"15"
"11664","29867","78751",-3.74616466661272,-38.5178355216786,23.1964302062988,"17"
"11665","29868","147397",-3.75608584775283,-38.5187897714969,17.696268081665,"17"
"11666","29869","94498",-3.74495094235858,-38.5183084346833,22.7006797790527,"17"
"11667","29870","85154",-3.74833438248427,-38.5208465550389,14.7914867401123,"17"
"11668","29871","5185530",-3.7736928371511,-38.4744807351599,17.7792472839355,"10"
"11669","29872","5188725",-3.77427800798501,-38.4727805018703,19.4036960601807,"10"
"11670","29873","5163943",-3.77154037123148,-38.4733522948626,17.2991371154785,"10"
"11671","29874","10471391",-3.7811604462731,-38.5135576212787,4.95644092559814,"6"
"11672","29876","3100677",-3.77804942200782,-38.5171662770329,10.6254253387451,"6"
"11673","29877","3102050",-3.77767411927682,-38.516137029759,6.40652751922607,"6"
"11674","29878","5560993",-3.77407206754767,-38.5131966254209,3.88096618652344,"6"
"11675","29880","5634903",-3.8035156655327,-38.5621582328902,31.6872444152832,"11"
"11676","29881","10039937",-3.77691141044623,-38.6070838369493,11.7279443740845,"4"
"11677","29882","10394621",-3.79203277362677,-38.6147123159679,24,"4"
"11678","29883","3932370",-3.79082836569034,-38.6171193903028,21.8434524536133,"4"
"11679","29884","1780573",-3.78598703899812,-38.613201079566,14,"4"
"11680","29885","7304358",-3.7593592463463,-38.5982689423031,7,"4"
"11681","29886","7591160",-3.7610159253457,-38.5988336791534,6.49443292617798,"4"
"11682","29887","10484191",-3.75770688864592,-38.5986929380946,6.9268970489502,"4"
"11683","29888","5624681",-3.76451914238495,-38.5983727099582,8.83112049102783,"4"
"11684","29889","10560360",-3.77183077568613,-38.596263339331,9,"4"
"11685","29891","7599510",-3.83508851005277,-38.5713721803086,37.2461585998535,"15"
"11686","29892","4563832",-3.81050537637028,-38.5965225256468,23,"15"
"11687","29893","4576365",-3.81114126332103,-38.5969025716297,22,"15"
"11688","29894","2434962",-3.81914959389572,-38.6102703722958,27.0293865203857,"15"
"11689","29895","10187448",-3.82540943651956,-38.5964598158063,28,"15"
"11690","29898","3332438",-3.82164693971708,-38.4725774132024,17.504846572876,"3"
"11691","29899","7569440",-3.82255699259915,-38.4762883548205,20.9065093994141,"3"
"11692","29900","8303401",-3.82356756303667,-38.5426420307919,21.1487464904785,"12"
"11693","29901","756334",-3.8315341824908,-38.5621639146219,33,"15"
"11694","29902","4975782",-3.80326587250455,-38.4914562919051,19.2675151824951,"10"
